data,valor
2018-06-01,0.518
2018-07-01,0.543
2018-08-01,0.5678
2018-09-01,0.4936
2018-10-01,0.5678
2018-11-01,0.543
2018-12-01,0.5183
2019-01-01,0.5678
2019-02-01,0.4936
2019-03-01,0.5183
2019-04-01,0.5036
2019-05-01,0.5076
2019-06-01,0.4183
2019-07-01,0.4395
2019-08-01,0.3899
2019-09-01,0.3595
2019-10-01,0.3737
2019-11-01,0.3126
2019-12-01,0.3019
2020-01-01,0.2613
2020-02-01,0.1748
2020-03-01,0.181
2020-04-01,0.1645
2020-05-01,0.157
2020-06-01,0.1645
2020-07-01,0.1719
2020-08-01,0.157
2020-09-01,0.1645
2020-10-01,0.179
2020-11-01,0.2182
2020-12-01,0.272
2021-01-01,0.283
2021-02-01,0.2909
2021-03-01,0.4175
2021-04-01,0.4394
2021-05-01,0.4986
2021-06-01,0.6288
2021-07-01,0.7175
2021-08-01,0.7673
2021-09-01,0.8601
2021-10-01,0.8829
2021-11-01,0.9226
2021-12-01,1.0859
2022-01-01,1.0189
2022-02-01,0.9358
2022-03-01,1.118
2022-04-01,1.072
2022-05-01,1.1233
2022-06-01,1.1233
2022-07-01,1.072
2022-08-01,1.1747
2022-09-01,1.1233
2022-10-01,1.072
2022-11-01,1.0207
2022-12-01,1.1233
2023-01-01,1.1233
2023-02-01,0.9128
2023-03-01,1.134
2023-04-01,0.964
2023-05-01,1.0364
2023-06-01,1.0061
2023-07-01,0.9243
2023-08-01,0.9929
2023-09-01,0.8848
2023-10-01,0.891
2023-11-01,0.8397
2023-12-01,0.7883
2024-01-01,0.8675
2024-02-01,0.7488
2024-03-01,0.8279
2024-04-01,0.8838
2024-05-01,0.8964
2024-06-01,0.8497
2024-07-01,1.0521
2024-08-01,1.0559
2024-09-01,1.0419
2024-10-01,1.2152
2024-11-01,1.0238
2024-12-01,1.1484
2025-01-01,1.2199
2025-02-01,1.1084
2025-03-01,1.0527
2025-04-01,1.1642
2025-05-01,1.1907
2025-06-01,1.0151
2025-07-01,1.2757
2025-08-01,1.1642
2025-09-01,1.2199
2025-10-01,1.2757
2025-11-01,1.0527
2025-12-01,1.1642
2026-01-01,1.1642
2026-02-01,0.997
2026-03-01,1.2129
2026-04-01,1.0909
2026-05-01,1.0734
2026-06-01,1.1204
2026-07-01,0.0525
